5.5	3763.33
5.501	3748.52
5.502	3733.73
5.503	3718.99
5.504	3704.27
5.505	3689.59
5.506	3674.95
5.507	3660.33
5.508	3645.76
5.509	3631.21
5.51	3616.7
5.511	3602.23
5.512	3587.78
5.513	3573.38
5.514	3559
5.515	3544.66
5.516	3530.35
5.517	3516.08
5.518	3501.84
5.519	3487.64
5.52	3473.47
5.521	3459.33
5.522	3445.23
5.523	3431.16
5.524	3417.12
5.525	3403.12
5.526	3389.15
5.527	3375.21
5.528	3361.31
5.529	3347.45
5.53	3333.61
5.531	3319.81
5.532	3306.05
5.533	3292.31
5.534	3278.61
5.535	3264.95
5.536	3251.31
5.537	3237.72
5.538	3224.15
5.539	3210.62
5.54	3197.12
5.541	3183.66
5.542	3170.22
5.543	3156.83
5.544	3143.46
5.545	3130.13
5.546	3116.83
5.547	3103.57
5.548	3090.34
5.549	3077.14
5.55	3063.98
5.551	3050.85
5.552	3037.75
5.553	3024.68
5.554	3011.65
5.555	2998.65
5.556	2985.69
5.557	2972.76
5.558	2959.86
5.559	2946.99
5.56	2934.16
5.561	2921.36
5.562	2908.6
5.563	2895.87
5.564	2883.17
5.565	2870.5
5.566	2857.87
5.567	2845.27
5.568	2832.7
5.569	2820.17
5.57	2807.66
5.571	2795.2
5.572	2782.76
5.573	2770.36
5.574	2757.99
5.575	2745.65
5.576	2733.35
5.577	2721.08
5.578	2708.84
5.579	2696.64
5.58	2684.47
5.581	2672.33
5.582	2660.22
5.583	2648.15
5.584	2636.11
5.585	2624.1
5.586	2612.12
5.587	2600.18
5.588	2588.27
5.589	2576.39
5.59	2564.55
5.591	2552.74
5.592	2540.96
5.593	2529.21
5.594	2517.5
5.595	2505.82
5.596	2494.17
5.597	2482.55
5.598	2470.97
5.599	2459.42
5.6	2447.9
5.601	2436.42
5.602	2424.96
5.603	2413.54
5.604	2402.15
5.605	2390.8
5.606	2379.47
5.607	2368.18
5.608	2356.92
5.609	2345.7
5.61	2334.5
5.611	2323.34
5.612	2312.21
5.613	2301.12
5.614	2290.05
5.615	2279.02
5.616	2268.02
5.617	2257.05
5.618	2246.12
5.619	2235.21
5.62	2224.34
5.621	2213.5
5.622	2202.7
5.623	2191.92
5.624	2181.18
5.625	2170.47
5.626	2159.79
5.627	2149.15
5.628	2138.53
5.629	2127.95
5.63	2117.4
5.631	2106.88
5.632	2096.4
5.633	2085.94
5.634	2075.52
5.635	2065.13
5.636	2054.78
5.637	2044.45
5.638	2034.16
5.639	2023.89
5.64	2013.66
5.641	2003.47
5.642	1993.3
5.643	1983.17
5.644	1973.06
5.645	1962.99
5.646	1952.95
5.647	1942.95
5.648	1932.97
5.649	1923.03
5.65	1913.12
5.651	1903.24
5.652	1893.39
5.653	1883.57
5.654	1873.79
5.655	1864.03
5.656	1854.31
5.657	1844.62
5.658	1834.96
5.659	1825.34
5.66	1815.74
5.661	1806.18
5.662	1796.65
5.663	1787.15
5.664	1777.68
5.665	1768.24
5.666	1758.83
5.667	1749.46
5.668	1740.12
5.669	1730.8
5.67	1721.52
5.671	1712.28
5.672	1703.06
5.673	1693.87
5.674	1684.72
5.675	1675.6
5.676	1666.5
5.677	1657.44
5.678	1648.41
5.679	1639.42
5.68	1630.45
5.681	1621.51
5.682	1612.61
5.683	1603.74
5.684	1594.9
5.685	1586.09
5.686	1577.31
5.687	1568.56
5.688	1559.84
5.689	1551.16
5.69	1542.5
5.691	1533.88
5.692	1525.29
5.693	1516.73
5.694	1508.2
5.695	1499.7
5.696	1491.23
5.697	1482.79
5.698	1474.39
5.699	1466.01
5.7	1457.67
5.701	1449.35
5.702	1441.07
5.703	1432.82
5.704	1424.6
5.705	1416.41
5.706	1408.25
5.707	1400.12
5.708	1392.03
5.709	1383.96
5.71	1375.93
5.711	1367.92
5.712	1359.95
5.713	1352.01
5.714	1344.1
5.715	1336.21
5.716	1328.36
5.717	1320.54
5.718	1312.76
5.719	1305
5.72	1297.27
5.721	1289.57
5.722	1281.91
5.723	1274.27
5.724	1266.67
5.725	1259.09
5.726	1251.55
5.727	1244.03
5.728	1236.55
5.729	1229.1
5.73	1221.68
5.731	1214.29
5.732	1206.93
5.733	1199.6
5.734	1192.3
5.735	1185.03
5.736	1177.79
5.737	1170.58
5.738	1163.4
5.739	1156.25
5.74	1149.14
5.741	1142.05
5.742	1134.99
5.743	1127.97
5.744	1120.97
5.745	1114.01
5.746	1107.07
5.747	1100.17
5.748	1093.29
5.749	1086.45
5.75	1079.63
5.751	1072.85
5.752	1066.1
5.753	1059.37
5.754	1052.68
5.755	1046.02
5.756	1039.38
5.757	1032.78
5.758	1026.21
5.759	1019.66
5.76	1013.15
5.761	1006.67
5.762	1000.22
5.763	993.794
5.764	987.401
5.765	981.039
5.766	974.706
5.767	968.404
5.768	962.131
5.769	955.888
5.77	949.676
5.771	943.493
5.772	937.34
5.773	931.217
5.774	925.124
5.775	919.061
5.776	913.027
5.777	907.024
5.778	901.05
5.779	895.106
5.78	889.192
5.781	883.307
5.782	877.452
5.783	871.628
5.784	865.832
5.785	860.067
5.786	854.331
5.787	848.625
5.788	842.948
5.789	837.302
5.79	831.684
5.791	826.097
5.792	820.539
5.793	815.011
5.794	809.512
5.795	804.043
5.796	798.603
5.797	793.193
5.798	787.812
5.799	782.461
5.8	777.14
5.801	771.847
5.802	766.585
5.803	761.352
5.804	756.148
5.805	750.973
5.806	745.829
5.807	740.713
5.808	735.627
5.809	730.57
5.81	725.542
5.811	720.544
5.812	715.575
5.813	710.636
5.814	705.726
5.815	700.845
5.816	695.993
