5.5	196.44
5.501	195.693
5.502	194.947
5.503	194.203
5.504	193.461
5.505	192.72
5.506	191.982
5.507	191.245
5.508	190.51
5.509	189.777
5.51	189.045
5.511	188.316
5.512	187.588
5.513	186.862
5.514	186.138
5.515	185.415
5.516	184.694
5.517	183.976
5.518	183.259
5.519	182.543
5.52	181.83
5.521	181.118
5.522	180.408
5.523	179.7
5.524	178.994
5.525	178.289
5.526	177.587
5.527	176.886
5.528	176.187
5.529	175.489
5.53	174.794
5.531	174.1
5.532	173.408
5.533	172.717
5.534	172.029
5.535	171.342
5.536	170.657
5.537	169.974
5.538	169.293
5.539	168.613
5.54	167.935
5.541	167.259
5.542	166.585
5.543	165.912
5.544	165.242
5.545	164.573
5.546	163.906
5.547	163.24
5.548	162.576
5.549	161.914
5.55	161.254
5.551	160.596
5.552	159.939
5.553	159.285
5.554	158.631
5.555	157.98
5.556	157.331
5.557	156.683
5.558	156.037
5.559	155.392
5.56	154.75
5.561	154.109
5.562	153.47
5.563	152.833
5.564	152.197
5.565	151.563
5.566	150.931
5.567	150.301
5.568	149.673
5.569	149.046
5.57	148.421
5.571	147.798
5.572	147.176
5.573	146.556
5.574	145.938
5.575	145.322
5.576	144.707
5.577	144.095
5.578	143.484
5.579	142.874
5.58	142.267
5.581	141.661
5.582	141.057
5.583	140.454
5.584	139.854
5.585	139.255
5.586	138.658
5.587	138.062
5.588	137.469
5.589	136.877
5.59	136.287
5.591	135.698
5.592	135.111
5.593	134.526
5.594	133.943
5.595	133.361
5.596	132.782
5.597	132.203
5.598	131.627
5.599	131.052
5.6	130.479
5.601	129.908
5.602	129.339
5.603	128.771
5.604	128.205
5.605	127.641
5.606	127.078
5.607	126.517
5.608	125.958
5.609	125.401
5.61	124.845
5.611	124.291
5.612	123.738
5.613	123.188
5.614	122.639
5.615	122.092
5.616	121.546
5.617	121.003
5.618	120.461
5.619	119.92
5.62	119.382
5.621	118.845
5.622	118.309
5.623	117.776
5.624	117.244
5.625	116.714
5.626	116.186
5.627	115.659
5.628	115.134
5.629	114.611
5.63	114.089
5.631	113.569
5.632	113.051
5.633	112.535
